Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold3982.2,5.242358059,18.14590548,-4.12118694,0.000817089,0.062546932,-0.607676182,no difference,,655812.HMPREF0061_0959,1.48E-11,71.2,"COG1098@1|root,COG1098@2|Bacteria,1V6FE@1239|Firmicutes,4HIKM@91061|Bacilli,27E0R@186827|Aerococcaceae",91061|Bacilli,J,S1 RNA binding domain protein,yabR,-,-,ko:K07571,-,-,-,-,ko00000,-,-,-,S1,NA,NA,yabR
SymbC1.scaffold11683.1,5.031580836,22.1956302,-3.717250097,0.001028972,0.072269108,-0.704253369,no difference,K26736,5811.TGME49_079390,2.52E-123,371,"COG0024@1|root,KOG2776@2759|Eukaryota,3Y9MV@5794|Apicomplexa,3YJS5@5796|Coccidia,3YTKM@5809|Sarcocystidae",5794|Apicomplexa,J,Metallopeptidase family M24,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M24,NA,NA,SymbC1.scaffold11683.1
SymbC1.scaffold1222.3,2.487544901,21.0753799,-3.634790749,0.001074415,0.073719287,-0.775877911,no difference,,38833.XP_003057300.1,1.07E-74,243,"2CMP3@1|root,2QR51@2759|Eukaryota,37NM7@33090|Viridiplantae,34HUX@3041|Chlorophyta",3041|Chlorophyta,S,SnoaL-like domain,-,-,-,-,-,-,-,-,-,-,-,-,SnoaL_2,NA,NA,SymbC1.scaffold1222.3
SymbC1.scaffold2821.3,-2.168762988,27.83238245,3.570122605,0.001093605,0.074163175,-0.840847562,no difference,,5811.TGME49_024850,1.09E-63,241,"KOG0123@1|root,KOG0123@2759|Eukaryota,3Y9N8@5794|Apicomplexa,3YJE9@5796|Coccidia,3YUNR@5809|Sarcocystidae",5794|Apicomplexa,AJ,Binds the poly(A) tail of mRNA,-,"GO:0000184,GO:0000375,GO:0000377,GO:0000398,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0003729,GO:0003730,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005829,GO:0006139,GO:0006378,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006725,GO:0006807,GO:0008022,GO:0008143,GO:0008150,GO:0008152,GO:0008187,GO:0008266,GO:0008380,GO:0008494,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009896,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0016070,GO:0016071,GO:0016458,GO:0019219,GO:0019222,GO:0019439,GO:0019538,GO:0031047,GO:0031123,GO:0031124,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0031331,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0034641,GO:0034645,GO:0034655,GO:0035770,GO:0036464,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043487,GO:0043488,GO:0043489,GO:0043603,GO:0043604,GO:0043631,GO:0043900,GO:0043902,GO:0043903,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045069,GO:0045070,GO:0045182,GO:0045727,GO:0045934,GO:0045935,GO:0046483,GO:0046700,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0050789,GO:0050792,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051254,GO:0060211,GO:0060213,GO:0060255,GO:0061013,GO:0061014,GO:0065007,GO:0065008,GO:0070717,GO:0071013,GO:0071704,GO:0080090,GO:0090079,GO:0090304,GO:0097159,GO:1900151,GO:1900153,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902369,GO:1902373,GO:1902494,GO:1903311,GO:1903312,GO:1903313,GO:1903900,GO:1903902,GO:1990904,GO:2000112,GO:2000622,GO:2000623",-,ko:K13126,"ko03013,ko03015,ko03018,map03013,map03015,map03018",-,-,-,"ko00000,ko00001,ko03019,ko03041",-,-,-,"PABP,RRM_1",NA,NA,SymbC1.scaffold2821.3
SymbC1.scaffold2106.11,-2.306324153,20.3425993,3.603586967,0.001436727,0.078730737,-0.987764286,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2106.11
SymbC1.scaffold4648.1,-2.427106524,24.95854636,3.493614084,0.001350177,0.077809074,-1.029701802,no difference,,44056.XP_009038137.1,2.01E-81,274,"COG0605@1|root,KOG0876@2759|Eukaryota",2759|Eukaryota,P,"oxidoreductase activity, acting on superoxide radicals as acceptor",-,-,1.15.1.1,ko:K04564,"ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"Sod_Fe_C,Sod_Fe_N",NA,NA,SymbC1.scaffold4648.1
SymbC1.scaffold258.5,-3.719203629,23.56798493,3.48517685,0.00138179,0.077809074,-1.050421163,no difference,,44056.XP_009038907.1,1.05E-35,138,"2BC5E@1|root,2S0ZD@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,LHCA5,-,-,ko:K08907,"ko00196,map00196",-,-,-,"ko00000,ko00001,ko00194",-,-,iRC1080.CRv4_Au5_s12_g3249_t1,Chloroa_b-bind,NA,NA,LHCA5 (2)
SymbC1.scaffold12432.1;SymbC1.scaffold2410.2,-2.748623334,21.24677388,3.516864666,0.001518004,0.079964558,-1.071727188,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold12432.1
SymbC1.scaffold2709.5,2.965811438,20.45248685,-3.477131922,0.001488519,0.079964558,-1.095885413,no difference,K18059,4641.GSMUA_Achr2P16170_001,1.17E-73,257,"COG0659@1|root,KOG0236@2759|Eukaryota,37MGP@33090|Viridiplantae,3G7F8@35493|Streptophyta,3KNPD@4447|Liliopsida",35493|Streptophyta,P,Sulfate permease family,-,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008272,GO:0008509,GO:0015075,GO:0015103,GO:0015116,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0072348,GO:0098656,GO:0098660,GO:0098661,GO:1901682,GO:1902358",-,ko:K18059,-,-,-,-,"ko00000,ko02000",2.A.53.1,-,-,"STAS,Sulfate_transp",NA,NA,SymbC1.scaffold2709.5
SymbC1.scaffold6451.2,2.143127999,21.9450208,-3.512094063,0.001801936,0.089051819,-1.184315866,no difference,,242159.ABO97068,3.00E-29,118,"COG2329@1|root,2RZAF@2759|Eukaryota,37XSE@33090|Viridiplantae,34IRD@3041|Chlorophyta",3041|Chlorophyta,S,Antibiotic biosynthesis monooxygenase,-,-,-,-,-,-,-,-,-,-,-,-,ABM,NA,NA,SymbC1.scaffold6451.2
SymbC1.scaffold13905.1,-3.817864752,23.89517171,3.383902848,0.001821391,0.089051819,-1.297382394,no difference,,2850.Phatr25893,1.94E-28,111,"2CDPH@1|root,2S3EU@2759|Eukaryota",2850.Phatr25893|-,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold13905.1
SymbC1.scaffold1272.2,-1.997324409,21.3965325,3.362870268,0.001928204,0.090247601,-1.348256347,no difference,,44056.XP_009035859.1,4.98E-39,140,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold1272.2
SymbC1.scaffold6827.3,-2.710827187,23.48854999,3.360087641,0.001942777,0.090247601,-1.35497601,no difference,,554065.XP_005851144.1,3.32E-68,218,"COG5023@1|root,KOG1376@2759|Eukaryota,37JG4@33090|Viridiplantae,34GYC@3041|Chlorophyta",3041|Chlorophyta,Z,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the",TUA1,"GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464",-,ko:K07374,"ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130",-,-,-,"ko00000,ko00001,ko03019,ko03036,ko04147,ko04812",-,-,-,"Tubulin,Tubulin_C",NA,NA,TUA1
SymbC1.scaffold4230.1,-3.181031441,22.36512744,3.388991568,0.00211285,0.094341385,-1.362955,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold4230.1
SymbC1.scaffold6631.1,-2.641435928,24.83893801,3.331734242,0.002097419,0.094341385,-1.42329726,no difference,K08910,35128.Thaps29375,4.59E-45,156,"2D9V2@1|root,2S5EH@2759|Eukaryota,2XC9D@2836|Bacillariophyta",2836|Bacillariophyta,P,Chlorophyll A-B binding protein,Lhcr1,-,-,ko:K08910,"ko00196,map00196",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Chloroa_b-bind,NA,NA,Lhcr1
SymbC1.scaffold3177.1,-4.011973625,29.59741771,3.298564326,0.002293301,0.100132655,-1.50287667,no difference,,2880.D8LNK6,4.17E-54,202,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold3177.1
SymbC1.scaffold616.6,-4.593632046,23.06995556,3.268861017,0.00248346,0.101980838,-1.573814297,no difference,,5762.XP_002683545.1,1.35E-26,126,"COG0699@1|root,KOG0446@2759|Eukaryota",2759|Eukaryota,I,mitochondrial fission,DRP5A,"GO:0000266,GO:0000278,GO:0000281,GO:0000910,GO:0000911,GO:0003373,GO:0003374,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0006996,GO:0007005,GO:0007049,GO:0008017,GO:0008092,GO:0008150,GO:0009504,GO:0009987,GO:0015631,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0022402,GO:0022607,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032506,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0048285,GO:0051258,GO:0051301,GO:0061024,GO:0061025,GO:0061640,GO:0065003,GO:0071840,GO:0090148,GO:1902410,GO:1903047",-,-,-,-,-,-,-,-,-,-,Dynamin_N,NA,NA,DRP5A
SymbC1.scaffold13463.1,-2.45082793,25.82916128,3.208287456,0.003263209,0.121109556,-1.756737901,no difference,,44056.XP_009035859.1,6.10E-16,84,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold13463.1
SymbC1.scaffold79.11,-5.053029331,25.76012905,3.162710029,0.003293636,0.121685708,-1.824721272,no difference,,102129.Lepto7375DRAFT_1443,1.75E-16,88.6,"2DBG3@1|root,2Z926@2|Bacteria,1G2CZ@1117|Cyanobacteria,1H9Y1@1150|Oscillatoriales",1117|Cyanobacteria,S,Photosystem I reaction centre subunit XI,psaL,-,-,ko:K02705,"ko00195,ko01100,map00195,map01100",M00161,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,"PSII,PsaL",NA,NA,psaL
SymbC1.scaffold6967.3,-3.1180098,22.13954988,3.16957349,0.003516363,0.122410438,-1.839290737,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold6967.3
SymbC1.scaffold27.5;SymbC1.scaffold5690.1,-2.586362425,23.57062105,3.147955805,0.003559764,0.122859585,-1.86974956,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold27.5
SymbC1.scaffold3070.7,-3.888476184,24.09490774,3.14266574,0.003472525,0.122211919,-1.87162744,no difference,,1173025.GEI7407_3662,4.45E-41,145,"28NMP@1|root,2ZBN6@2|Bacteria,1G51J@1117|Cyanobacteria,1HAR2@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM PsaD,psaD,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",-,ko:K02692,"ko00195,ko01100,map00195,map01100",M00163,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,PsaD,NA,NA,psaD
SymbC1.scaffold10731.2,-3.488045268,20.69245286,3.117718939,0.004316563,0.135037311,-1.981168449,no difference,,2880.D7G0D5,3.95E-26,113,"2CDPH@1|root,2SBCH@2759|Eukaryota",2759|Eukaryota,U,light harvesting protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold10731.2
SymbC1.scaffold2223.3,2.076457535,20.45531201,-3.077016251,0.004361621,0.135411003,-2.039076408,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2223.3
SymbC1.scaffold261.9,-2.48938171,23.4108901,3.046030153,0.005031238,0.142784541,-2.123086926,no difference,,35128.Thaps21748,8.05E-136,437,"COG0191@1|root,KOG4153@2759|Eukaryota,2XA5F@2836|Bacillariophyta",2836|Bacillariophyta,G,Fructose-bisphosphate aldolase class-II,-,-,4.1.2.13,ko:K01624,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00003,M00165,M00167,M00344,M00345","R01068,R01070,R01829,R02568","RC00438,RC00439,RC00603,RC00604","ko00000,ko00001,ko00002,ko01000",-,-,-,F_bP_aldolase,NA,NA,SymbC1.scaffold261.9
SymbC1.scaffold2234.5,-3.008343704,22.59773351,2.998079444,0.005147166,0.142947668,-2.207246511,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2234.5
SymbC1.scaffold3881.3,1.679821417,20.09281511,-2.98119651,0.005906645,0.153434334,-2.262786136,no difference,,2880.D7FLM7,8.62E-27,127,"KOG2471@1|root,KOG2471@2759|Eukaryota",2759|Eukaryota,O,regulation of translation,CNOT10,"GO:0000075,GO:0000077,GO:0000278,GO:0000288,GO:0000289,GO:0000956,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006402,GO:0006417,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006977,GO:0007049,GO:0007093,GO:0007154,GO:0007165,GO:0007346,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010608,GO:0010629,GO:0010948,GO:0016070,GO:0016071,GO:0017148,GO:0019222,GO:0019439,GO:0022402,GO:0023052,GO:0030014,GO:0030330,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031570,GO:0031571,GO:0032268,GO:0032269,GO:0032991,GO:0033554,GO:0034248,GO:0034249,GO:0034641,GO:0034655,GO:0035556,GO:0042770,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0044773,GO:0044774,GO:0044783,GO:0044819,GO:0045786,GO:0045787,GO:0045930,GO:0046483,GO:0046700,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051716,GO:0051726,GO:0060255,GO:0065007,GO:0071156,GO:0071158,GO:0071704,GO:0072331,GO:0072395,GO:0072401,GO:0072413,GO:0072422,GO:0072431,GO:0080090,GO:0090068,GO:0090304,GO:1901360,GO:1901361,GO:1901575,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902400,GO:1902402,GO:1902403,GO:1902806,GO:1902807,GO:1903047,GO:2000045,GO:2000112,GO:2000113,GO:2000134",-,"ko:K07427,ko:K12607","ko03018,map03018",-,-,-,"ko00000,ko00001,ko00199,ko03019",-,-,-,TPR_8,NA,NA,CNOT10
SymbC1.scaffold642.5,-3.455395003,25.34133565,2.913974272,0.006284703,0.157406756,-2.39537137,no difference,,2880.D8LNK6,8.40E-55,200,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold642.5
SymbC1.scaffold4311.1,-2.047673729,23.20817133,2.91676671,0.00678338,0.161948249,-2.396760735,no difference,,469383.Cwoe_5232,1.27E-32,125,"COG1525@1|root,COG1525@2|Bacteria,2GRK1@201174|Actinobacteria,4CQVE@84995|Rubrobacteria",84995|Rubrobacteria,L,Staphylococcal nuclease homologues,-,-,3.1.31.1,"ko:K01174,ko:K07038",-,-,-,-,"ko00000,ko01000",-,-,-,"SNase,YdjM",NA,NA,SymbC1.scaffold4311.1
SymbC1.scaffold5137.1,-1.773576469,23.58567805,2.89173694,0.006650903,0.160418794,-2.445116915,no difference,K01783,264402.Cagra.0542s0034.1.p,1.27E-99,300,"COG0036@1|root,KOG3111@2759|Eukaryota,37I5W@33090|Viridiplantae,3G8J0@35493|Streptophyta,3HMBA@3699|Brassicales",35493|Streptophyta,G,Ribulose-phosphate 3-epimerase,-,"GO:0003674,GO:0003824,GO:0004750,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0016853,GO:0016854,GO:0016857,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035",5.1.3.1,ko:K01783,"ko00030,ko00040,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00040,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007",R01529,RC00540,"ko00000,ko00001,ko00002,ko01000",-,-,-,Ribul_P_3_epim,NA,NA,SymbC1.scaffold5137.1
SymbC1.scaffold1578.6,7.027742789,18.86107995,-3.381728551,0.006257488,0.157406756,-2.545370354,no difference,,109871.XP_006675148.1,8.80E-53,186,"COG1960@1|root,COG5274@1|root,KOG0140@2759|Eukaryota,KOG0537@2759|Eukaryota,38F88@33154|Opisthokonta,3NVFK@4751|Fungi",4751|Fungi,CI,acyl-CoA dehydrogenase,-,-,-,-,-,-,-,-,-,-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N,Cyt-b5",NA,NA,SymbC1.scaffold1578.6
SymbC1.scaffold10731.3,-3.643192549,26.11470602,2.842214666,0.007539615,0.166831862,-2.555103111,no difference,,2880.D8LQ48,6.44E-36,132,"COG2146@1|root,2S5ES@2759|Eukaryota",2759|Eukaryota,P,Rieske-like [2Fe-2S] domain,-,-,-,-,-,-,-,-,-,-,-,-,Rieske,NA,NA,SymbC1.scaffold10731.3
